微博正文,微博正文,#上海国际电影节# 排片表来啦！6/5 8:00 ?调好，拼手速！http://t.cn/A6Vl6dmD @上海国际电影节 ?原图?,手可摘星辰定义未来十年，精品内容新方向金钥匙??创投计划好喜欢这个LOGO好喜欢这种态度好喜欢这样的携手同行好期待，繁星满天张一白 徐峥 郭帆 韩寒 文牧野 ??电影长片or中短剧集??报名戳??http://t.cn/A6V06uRV ?原图?,第24届上海国际电影节金爵奖主竞赛单元、动画片单元、纪录片单元、短片单元评委会 ?[组图共15张]?原图?,名场面+因果论，有木有呀！最后，周王落寞，盛将军完胜，盛傅CP终成眷属#电视剧骊歌行##许凯骊歌行# ?[组图共6张]?原图?,第二十七届上海电视节将于2021年6月6日至10日举办。本届电视节白玉兰奖中国电视剧类别入围名单如下： ?[组图共10张]?原图?,爱了 ?[组图共4张]?原图?,小辰光过年额米道……花菜肉片，芹菜鱿鱼，苔条花生，熏鱼，糖醋小排，咖喱芋艿，蒸臭豆腐，榨菜血汤，香莴笋，肚皮，烤麸，素鸡……阳春面，葱油拌面，冷馄饨，样样有……吃了个遍听老板回忆老虎灶，混堂浴室，茶楼小开……念想这玩意，真是个好东西 上海·逸桂禾 ?显示地图?[组图共6张]?原图?,今年SIFF最期待——新世纪福音战士新剧场版的前三部《新世纪福音战士新剧场版：序》、《新世纪福音战士新剧场版：破》、《新世纪福音战士新剧场版：Q》，在期待《新世纪福音战士新剧场版：终》正式引进的同时，让我们走进影院，先在大银幕上感受一下前三部的魅力吧。 ?[组图共3张]?原图? 
手绘简约可爱美甲，短甲适用！ #美甲# ?[组图共3张]?原图?,大姨妈要我命 ?,开眼角?画眼线，也太好看了叭#眼妆# 教你做精致女孩的微博视频 ?,曾经有一支疫苗放在我面前，问我打不打?我不懂得珍惜。现在顶着烈日，6点就起来排队!如果可以再让村长问多我一次，我会对村长讲:“我愿意”。如果要在次数上做出选择的话，我希望左右手各一针 ?,直男抵抗不了的美女子眼妆#美妆##眼妆# 教你做精致女孩的微博视频 ?,今日份妆容分享#化妆教程# 教你做精致女孩的微博视频 ?,#王大陆蔡卓宜拥吻#所以，蔡卓宜跟蔡卓妍是姐妹关系吗？ ?,虞书欣这碎钻女团眼妆真的好美，画完舍不得卸！ #美妆# ?[组图共6张]?原图?,天若有情天亦老，人间正道是沧桑 ?,这个微醺妆容你给打几分？#化妆教程##小仙女# 教你做精致女孩的微博视频 ?
只需一个大地色眼影可盘清透眼妆#化妆教程##眼妆# 教你做精致女孩的微博视频 ?,终归 都是穿梭在人生群像中的一员  ?[组图共9张]?原图?,销声匿迹的日子里都在热爱生活#小仙女# 教你做精致女孩的微博视频 ?,五一假期在浑浑噩噩的感冒、头疼、发烧、咳嗽、浑身难受中就这样度过了 ?原图?,简单实用的夏日基础款穿搭#穿搭# ?[组图共9张]?原图?,从黎明到黄昏，阳光充足，胜过一切过去的诗。 教你做精致女孩的微博视频 ?,简单又好看的眼线姐妹们画起来！#化妆教程##眼妆# 教你做精致女孩的微博视频 ?,当代年轻人的解压方式：发动态 删动态 换头像 换背景 沉默 听歌 ?原图?,起床吃饭吧，一躺废一天啊 ?原图?,这个淡妆浓抹总相宜的温温柔柔的女子，衣品也太好了吧！！！  #穿搭# 教你做精致女孩的微博视频 ?
不知道从什么时候起，不爱发盆友圈了，矫情的时候不想被所有人看见，毕竟出门在外还要努力装个成熟稳重的大人…随便发个啥还得分组，随着好友越来越多越难分组索性不发了，后来偶尔发个抖音，最近发现妈妈跟婆婆都迷上了拍抖音...…还是微博好啊，能畅所欲言的地方太难找了 ?[组图共3张]?原图?,“是不是年纪越大就越承受不了夜曲的前奏？” 教你做精致女孩的微博视频 ?,自己动手，减龄遮肉的少女感八字刘海教程～美女的秘密都在这里了！#小仙女##发型# 教你做精致女孩的微博视频 ?,吃吃喝喝玩玩的假期结束了，时间如行云流水… ?[组图共2张]?原图?,有了散粉，还有磨皮什么事？#化妆教程# 教你做精致女孩的微博视频 ?,又是人间四月天，世间再无张国荣#哥哥张国荣# 教你做精致女孩的微博视频 ?,生活简单，日子温暖，我们都在奔放更好的未来#穿搭# 教你做精致女孩的微博视频 ?,春夏款小雏菊美甲?? #美甲# ?[组图共2张]?原图?,#耐克#新疆？棉花？HM？什么情况啊？#优衣库# ?,眼线画不顺的时候  不妨换个方向试试#眼妆# 教你做精致女孩的微博视频 ?
戴口罩的日子里，画一个好看的卧蚕是多么重要#今日妆容# 教你做精致女孩的微博视频 ?,真的太喜欢这个女孩了！啊～我的女神#IU[超话]# 教你做精致女孩的微博视频 ?,你看自由这个词，长得就条条框框。 ?,人终向前走，花自向阳开 教你做精致女孩的微博视频 ?,早安，美好的一天开始了 教你做精致女孩的微博视频 ?,“和我私奔吧，趁着夜色和爱你渐浓，在落日跟暮色当中。”#IU[超话]# 教你做精致女孩的微博视频 ?,可爱眼线画法#眼妆# 教你做精致女孩的微博视频 ?,听说每个女生都有牛仔情节？#穿搭# 教你做精致女孩的微博视频 ?,恍惚间我还以为是哪个暗恋者，嗐。 ?[组图共2张]?原图?,伪素颜眼妆请收好#眼妆# 教你做精致女孩的微博视频 ?
永远开心，永远作精，永远谁的话都不听，永远生理期吃冰 ?原图?,半截眼线真是太好画了，自然又好看#眼妆# 教你做精致女孩的微博视频 ?,作业写完了吗？?? ?[组图共2张]?原图?,今天亲眼目睹了一个猥亵事件??女孩子们一定一定要保护好自己！！！ ?,蓝 ?[组图共9张]?原图?, ?[组图共2张]?原图?,???? 斯丹曼簇簇簇的微博视频 ?,像我嚒 斯丹曼簇簇簇的微博视频 ?,wu ?原图?,微博正文
这是什么神仙裙子 ?[组图共9张]?原图?,杭州朴信惠出街了哈哈哈 ?[组图共2张]?原图?,两套新衣服，选左边还是右边？ ?原图?,牛仔女孩穿搭合集，整理了几套平时牛仔系列穿搭，你喜欢哪一套？ 方柳柳fll的微博视频 ?,今日穿搭来啦大翻领泡泡袖衬衫+牛仔半身裙第一次尝试这样的搭配，小俏皮又有点点知性～#ootd##今天穿什么##日常穿搭# ?[组图共9张]?原图?,春日穿搭分享你最喜欢哪一套#ootd##穿搭分享##今天穿什么# ?[组图共9张]?原图?,[置顶]《?? (I like it)》??（@网易云音乐） ?,??上的蚊子可真绝呀 ?[组图共2张]?原图?,咂姐真是给我笑yue了 ?原图?,明天又是刺激的一天～祈祷平安?? ?
真滴滑溜 ?原图?,急诊 最后一个前夜上的胃痛 醉酒臭的我先yue了忙的简直救命 热到像蒸桑拿?? ?,??郭采洁《昨天的月亮是圆的》昨天的月亮是圆的（@网易云音乐） ?,雨天打车一来一去 是白上的程度 ?,最后一周冲 ?原图?,看直播看上猫咪的冰垫了?? ?,断舍离了一堆没用过的过期产品 ?,只想静静当个废物 ?原图?,520爆车胎 ?,每日祈祷之不要被提问?? ?
今天真是刺激的一天呢即将回归我的快乐老家?? ?,背不出 不想背了??心态崩前夕祝好运 ?,细数了一下五月待完成事宜 只想说救救我?? ?,护士节努力打工 ?[组图共4张]?原图?,夏天吹头发热到想剃光头 ?,真受不了傻逼了?? ?,这个雷能把我吓出心梗 ?,粗卡哈密达 ?[组图共3张]?原图?,上夜班还打疫苗 好痛苦 手已废 ?原图?,0715上班真是人干的事吗 ?
真是困到不行???救命 不想上班 ?,烦死了 背不完的书 ?,立夏 ?原图?,傻逼真的是多 真是救命 ?,劳动好累 ?原图?,快乐夜班开启5??? ?,不 开 心 因为明天休息还要去开 科 会 ?,我的悲伤那么大 没等来公开 等来了下车 ?,来啦 ?原图?, ?原图?
再也不想考呼吸机了 大概也不会碰到了 哦耶 ?[组图共2张]?原图?,感人 我的姐终于又恋爱了吗 ?,除了上班就是在睡觉 ?原图?,tony我恨你可真有你的 ?[组图共2张]?原图?,恭喜我那姐和祖鹅成团  ??了 ?,容祖儿你好美哇 ?,啊啊啊啊啊啊祖鹅也太好了吧 ?,祖鹅宝贝给我冲 ?,yydsrgsw ?[组图共2张]?原图?,真想不通是有多想不通的人才会在jz这种垃圾地方上的下去?? ?
实在忍不住再吐槽一遍hanbi领导 ?,最近也有点诸事不顺 ?,喜欢姐姐 ?[组图共5张]?原图?,热死个姐 ?原图?,我那姐和祖鹅??了 ??了 ?,废柴 ?原图?,aaaaaaa懵钟赛高 ?[组图共2张]?原图?,躺尸3日仅剩半天 ?原图?,突然热的我不知道穿啥 ?原图?,看顶楼的我疯了 秀莲我疯了 ?
祖鹅太好了8 ?,上班怎么这么烦 连休息都要想上班的事 ?原图?,被生活打败 ?[组图共2张]?原图?,忙碌到不知饥饿 ?原图?,和我怼的那个傻逼就你这??样活该来 ?? ?,每一天都不想上班下雨天更甚 ?,做个有礼貌的人妈的 头好痛 妈的 我他妈的五点又醒了妈的 我想睡觉还灌咖啡妈的 真他妈的烦妈的 我继续睡了....对不起 忘了要做个有礼貌的人那..妈妈的..你好啊 我是梅卡德尔的狗女孩 本人除了民谣都爱哦 嗯..要不要跟我握个手啊可..算了 男女授受不亲可妈妈的 我想你抱我！来抱我！谢谢配合！抱紧点谢谢！金錿《The same boy you've been laughing with》The same boy you've been laughing with（@网易云音乐）                            ?    ,手机是世界上最伟大的发明它能记录下你年轻时所有青涩 矫情 委屈 绝望 不堪 天真 温柔的瞬间 将来等你的孩子识字的时候笑着告诉她你看 这是妈妈小时候记录的照片跟傻话 ?[组图共9张]?原图?,分享我的故事 微博视频 ?,ゆらゆら帝国《3×3×3》3×3×3（@网易云音乐） ?
伍佰 & China Blue《被动(Live)》被动(Live)（@网易云音乐） ?,经纪人姐姐让我录自我介绍 还好她没骂我也没让我重新录 你好 希望今后的见面大家都不要问我 你觉得你是什么性格的人 抱歉我有一百零八种性格 无敌大王李婷婷的微博视频 ?,来点甜头 上课不愁 做题全对 快乐万岁 #网剧放学别走##宠爱剧场全员发糖# ?原图?,deca joins《浴室(2019 Reprise)》浴室(2019 Reprise)（@网易云音乐） ?,分享视频 无敌大王李婷婷的微博视频 ?,总是有各种微博什么推广刷粉的私信我 这样吧我统一回复 放学别走播的时候你们先操作一下让它爆火 我看看你们有没有那个能力 有的话 下次合作我考虑一下 ?,分享图片 ?[组图共5张]?原图?,如何逼一个懒人涂护手霜 来北京.. ?[组图共3张]?原图?,?? 无敌大王李婷婷的微博视频 ?,Bee Gees《I Started A Joke》I Started A Joke（@网易云音乐） ?[组图共4张]?原图?
为周柯宇撑腰！ @创造营2021-周柯宇 ?[组图共2张]?原图?,师父让我们把体会写出来好让更多人感受到佛法的智慧 事情是半个月前了我一直没写出来 下笔的话可能没法言简意赅 长篇大论怕大家没耐心看 反正是这样前两天见了许久没见的朋友大家都说 这次见你感觉到状态好太多 这一年半休息时间怎么说呢 一会很好一会遇到事儿又崩溃的不行 但这回是真真儿的差不多了 百分之七十的事儿是打不倒李婷的吧 我是通过微信公众号#本心之旅#  行了 一切随缘..            ?[组图共5张]    ??原图                        ?    ,分享视频 无敌大王李婷婷的微博视频 ?,我太喜欢高潮了hhhh！！段兴华《我害怕鬼》我害怕鬼（@网易云音乐） ?,坐地铁好好玩 我要每天坐地铁 ?[组图共6张]?原图?,分享图片 ?[组图共16张]?原图?,昨天是跨性别日 参加了他们派对 真是一群温暖可爱的人啊 我跟好朋友一致认为我们不过是平凡的普通人 他们反而是上帝的恩赐 带着某种神圣的使命降临凡间 我们有幸与他们共存 静静地听着他们的故事 觉得 好神奇啊 而我的童年平淡无奇 所以嘛你们看看 别害怕 在我眼里你们很厉害诶 只要你不害怕 害怕的就是别人 只要你不尴尬就让别人尴尬 自信快乐起来吧 可爱的精灵们 好好享受人间的生活只要细细品味 那么人间值得.. @BIE别的女孩                ??原图                        ?    ,可爱女人 ?[组图共7张]?原图?,摄影师：无敌大王李婷婷模特：李婷婷的好朋友@一隻昏君 ?[组图共8张]?原图?,分享图片 ?[组图共9张]?原图?
分享视频 无敌大王李婷婷的微博视频 ?,KIRINJI《エイリアンズ》Aliens（@网易云音乐） ?,让我们一起站在世界中央挥洒爱 ?[组图共4张]?原图?,倒是不用整日思考我是谁 我从哪来我该去哪 多蹦蹦就有答案了 蹦迪有益身心健康.. 不骗你 有两回我确实边蹦边思考活着的意义 ?[组图共2张]?原图?,摄影师：无敌大王李婷婷模特：美丽 ?[组图共7张]?原图?,浪流连.... ?[组图共3张]?原图?,小时候看爱情魔法师就想长大以后我也要变魔术 给女孩子们穿漂亮衣服漂亮头发拍漂亮照片 让她一照镜子就高兴 其实对于相机只会按快门键其他都不懂 凭自己感觉在抓拍 等我再多多学习 懂得如何发挥出我心里的感觉 就邀请几个人 免费帮她们拍 这事儿对于我这样懒惰的人不知道什么时候实现 但我宣布可以提前几年 报名开始 ..（每个人把自己照片放在下面吧） 大家把年龄在评论区标注好 征集0到100岁各选一人性别不限..                            ?    ,摄影师：@无敌大王李婷婷 模特：@Melody其实叫灵子 ?[组图共7张]?原图?,下次你们应该问我 李婷婷 今日你温柔了么嘻嘻 ?[组图共4张]?原图?,分享我的故事 微博视频 ?
微博正文,分享图片 ?[组图共16张]?原图?,分享视频 无敌大王李婷婷的微博视频 ?,微博正文,#萌探探探案##萌探探探案第二期# 玩了半天，卧底竟在我身边，小丑竟是我自己萌探探探案第2期上 黄子韬神逻辑逼哭那英 孙红雷宋亚轩秀歌舞 ?,#萌探探探案##萌探探探案开播# 本萌探今日上线，任务还没开始就结束了……萌探探探案第1期 孙红雷黄子韬双傻PK 萌探家族首聚“各怀鬼胎” ?,分享一个今天的上课记录??#元气爱豆的日常# .#我爱我热爱# 时代少年团-宋亚轩的微博视频 ?,那天小宋老师的心情比天气都还好#元气爱豆的日常# .#元气夏日冲冲冲#  绿洲 ?[组图共3张]?原图?,心血来潮又唱了一首#元气爱豆的日常#.#元气夏日冲冲冲# 时代少年团-宋亚轩的微博视频 ?,难兄难弟之vdog记录 《带弟弟，确实不太容易》#元气爱豆的日常#??#元气夏日冲冲冲# 时代少年团-宋亚轩的微博视频 ?
好像很久没有唱歌给你们听了#元气爱豆的日常# .#爱豆能量月# 时代少年团-宋亚轩的微博视频 ?,#萌探探探案断句式官宣# 萌探时代少年团宋亚轩报到！谨记萌探守则第一条：仪容整洁，衣服上让别别别的东西就别别别的东西。 ?原图?,oh my god#望春风+夜来香(Live)-陶喆[音乐]##元气爱豆的日常# .#爱豆能量月# ?,妈妈带着弟弟去音乐大师课展演了??#元气爱豆的日常# .#爱豆能量月# 时代少年团-宋亚轩的微博视频 ?,呲呲呲 ??????(?￣???￣??)#爱豆能量月# .#元气爱豆的日常# 时代少年团-宋亚轩的微博视频 ?,创意又别致，一起感受精湛工艺与科幻主义的交织～@DIOR迪奥 ?[组图共2张]?原图?,自制手工款#元气爱豆的日常# .#五一随手拍# ?[组图共4张]?原图?,今日的特别演出，宋给特别的你们#元气爱豆的日常# .#五一随手拍# 时代少年团-宋亚轩的微博视频 ?,小宋老师的舞来得漫不经心，觉得自己像壁虎一样安静????#五一随手拍# #元气爱豆的日常#.#时代少年团的亿个小目标# 时代少年团-宋亚轩的微博视频 ?,《一盒爆米花的诞生》 时代少年团-宋亚轩的微博视频 ?
发现隐藏场景??#元气爱豆的日常# ～#爱豆能量月#  绿洲 ?[组图共6张]?原图?,小宋老师公开课，包教但不包会 ?'?'?#元气爱豆的日常# ??#爱豆能量月# 时代少年团-宋亚轩的微博视频 ?,少年时代，是一起学习相互帮助 时代少年团-宋亚轩的微博视频 ?,这次小宋老师来弹换你们唱#元气爱豆的日常##尽兴生活# 时代少年团-宋亚轩的微博视频 ?,课后问答，我身上穿的是??#元气爱豆的日常# ～#爱豆能量月#  绿洲 ?[组图共3张]?原图?,王牌对王牌的旅程就像经历了一次高考，是当下的我脑子里冒出的令我自己也有些惊讶的念头——竟然已经到了要暂时说再见的时候了。虽然我并没有经历过高考，因此我对它的形容并不是那么的贴切，但它是那一时刻的我最真实的体会。和考试不同的是，我并没有平常考完试的那样一种放松、愉悦和解脱感，更多的是感激和不舍。一路成长的过程中，感谢温暖包容我这个“综艺新手”，非常照顾我的哥哥姐姐们@沈腾 @贾玲 @华晨宇yu @关晓彤 @80后沈涛  ，无论是综艺的能力还是对待工作的专业态度，都是我吸收到的非常宝贵的经验，很幸运能和你们相遇～感谢台前幕后的每一位为了节目付出巨大努力的工作人员们，感谢一直给予我支持和鼓励的观众朋友们，希望大家都能天天开心，照顾好身体，期待下次的见面！在看最后这期节目的时候，从北京到杭州的途中一幕幕场景总会浮现在眼前，浓密云层中透出星星点点的万家灯火、从完全陌生到似曾相识的街景、每次来都会先和我的餐盒亲密地“打个招呼”的流程表、见证新鲜作品诞生的排练室全身镜…总觉得这样义无反顾的奔赴仿佛还是昨天。#王牌对王牌# 收官了，将收获打包，未来的小宋也会继续努力，下次见面时，我就是更加宋亚轩的那个宋亚轩啦！                            ?    ,时间过得好快，一转眼就要迎来#王牌对王牌收官#了，真的很舍不得。从最开始不太受控制十分紧张的身体、偶尔会一片空白的大脑，到现在时而可以“招架”哥哥姐姐们的“宠爱”顺便进行的“反击”，这一路感谢哥哥姐姐们的照顾，也学到了很多，小宋已经不会轻易被带跑啦哈哈！今晚20:20浙江卫视#王牌对王牌#  交答卷时间到，和大家一起准时守候??前～                ??原图                        ?    ,给大家分享一下我们张哥绝美侧颜，祝@时代少年团-张真源 十八岁生日快乐！！！每一次把我们喜欢的歌唱到投入时没有你的和音陪伴真的好不习惯，我们一起唱更多好听的歌一起去经历更多美好吧，考试顺利，等你回来??? ?[组图共2张]?原图?,《一 颗 赛 艇》feat. DJ 发动机#元气爱豆的日常# .#爱豆能量月#  绿洲 时代少年团-宋亚轩的微博视频 ?,很开心来到#迪奥二一秋季成衣上海秀# ，期待这场流行风潮与经典型格的精彩对话，感谢～@DIOR迪奥  http://t.cn/A6c58zUd ?[组图共9张]?原图?
哇哦好神奇#元气爱豆的日常# .#爱豆能量月#  绿洲 ?原图?,#王牌对王牌# 语言大师们已上线，今晚20:20浙江卫视 ，跟小宋一起去上王牌语言课啦 ?原图?,这两天下来 多亏了我这位“朋友”，青海的雪山真的太美了，各位朋友真的要去亲眼看一看，山上还有好多小羊小牛，咦？眼泪怎么从嘴里流出来了#元气爱豆的日常# ～#爱豆能量月#  绿洲 ?[组图共5张]?原图?,??????无一幸免#元气爱豆的日常# .#爱豆能量月#  绿洲 时代少年团-宋亚轩的微博视频 ?,启动超级帅哥形态??#元气爱豆的日常# .#爱豆能量月#  绿洲 时代少年团-宋亚轩的微博视频 ?,大概这就是绝对的力量吧??#元气爱豆的日常# ～#爱豆能量月#  绿洲 ?[组图共3张]?原图?,看起来还不错#元气爱豆的日常# .#每日星随拍#  绿洲 ?[组图共2张]?原图?,#王牌对王牌# 艺术节前发生了一个大事件今晚20:20浙江卫视 ，快来跟我一起寻找真相！ ?原图?,听出是什么节奏了吗？#元气爱豆的日常# .#每日星随拍#  绿洲 时代少年团-宋亚轩的微博视频 ?,跟我们生活息息相关的小妙招，一秒就能学会??#元气爱豆的日常# .#每日星随拍#  绿洲 时代少年团-宋亚轩的微博视频 ?
宋我出门记??#元气爱豆的日常# .#每日星随拍# 时代少年团-宋亚轩的微博视频 ?,大自然的鬼斧神工????#元气爱豆的日常# ～#初春时刻#  绿洲 时代少年团-宋亚轩的微博视频 ?,#王牌对王牌# 热知识分享：原来演播厅没有下水管??今晚20:20浙江卫视 ，王牌职场不见不散！ ?原图?,今天是??兄弟友情出镜#元气爱豆的日常# .#初春时刻#  绿洲 ?[组图共2张]?原图?,#王牌对王牌# 和兄弟们一起来争夺音乐“王牌导师”啦??我们是不会手下留情的???今晚20:20浙江卫视 ，来王牌音乐节一起玩！ ?原图?,很配合的??兄弟#元气爱豆的日常# .#每日星随拍#  绿洲 ?[组图共4张]?原图?,小宋老师微微一笑，身份一定不被猜到#元气爱豆的日常# .#每日星随拍#  绿洲 ?[组图共2张]?原图?,ài  一点也不简单 _(:τ」∠)_#元气爱豆的日常# .#每日星随拍# 时代少年团-宋亚轩的微博视频 ?,#王牌对王牌# 小卫来宋玫瑰??，今晚20:20 锁定浙江卫视 ，不能错过哦！ ?原图?,冷知识：站在光里面会被染色??#元气爱豆的日常# .#致可爱的你#  绿洲 ?[组图共2张]?原图?
赛出风格赛出水平，小宋马腿拍到飞起 时代少年团-宋亚轩的微博视频 ?,上康康??下康康??#元气爱豆的日常# .#不潮不出街#  绿洲 ?[组图共2张]?原图?,#王牌对王牌# 看到“碧眼狐狸”不要闭眼??今晚20:20浙江卫视 ，一起重温经典影视～ ?原图?,今天是我的生日，来祝福我吧！ ?,17岁的小宋老师：      我想当第一个和你说生日快乐的人，所以给你写了这封信，所以你要记住，第一个跟你说生日快乐的是16岁的小宋老师！      首先我要和你承认几个错误，在16岁的时候，我还是有很多事情没有做好，我不太敢一个人关灯睡觉，还是喜欢吃被“严格禁止”但是无法割舍的零食，还是会控制不住罪恶的双手把发型师的心血变成小鸡的家，还有很多我想不起来了，但你应该都知道！这些我没有改掉的习惯，又被继承到了你的身上，希望你可以和它们好好聊聊，变成一个你希望成为的小宋老师??。      但是也有很多我觉得做得还不错的事，就是我已经没有那么害怕陌生人了，在夏天的时候我也完成了很好的舞台，跟兄弟们一起唱歌跳舞，一起组了乐队，我也自己去录了王牌，大家都对我很好，我想那也是因为小宋老师真的不错吧！不过，这些都是我们共同的功劳，希望你也不要独自骄傲，再接再厉再创佳绩????。      17岁可能会遇到一些新的问题，我也没有什么经验，没办法给你特别有用的建议，但希望你也不要害怕，因为人生就是要有意想不到的事情才更特别。更何况，你不是自己一个人，有困难可以找兄弟们，这点我还是很有经验??！      想说的话有很多，但是到写下来的时候好像又有很多不知道该如何表达，剩下的你自己来领悟吧。      就这样成功把小宋老师交给17岁了，我真是太不戳了！      生日happy！我17岁啦！??            ?[组图共2张]    ??原图                        ?    ,太害怕了，房间里居然出现了一个……#元气爱豆的日常# .#牛年如意#  绿洲 时代少年团-宋亚轩的微博视频 ?,微博正文,底妆做不好，看再多美妆视频都化不出完美妆效！想知道如何用#YSL恒久粉底液#让你的夏日妆容无懈可击嘛？ 6月6日晚上8点。我会在现场进行素人大改造，手把手讲解底妆秘诀以及化妆小技巧，进入YSL美妆天猫直播间http://t.cn/A6Vj8n01，让你镜头底下依然生图能“打”！【618活动】YSL圣罗兰恒颜无瑕恒久粉底液哑光油皮遮瑕持久 ?原图?,准备再刷一遍流金岁月 春楠的微博视频 ?,春楠?? 夏日元气腮红推荐适合夏日的元气??腮红推荐来啦??这次推荐的腮红，有我平时爱用的经典款，还有很多夏季新品，绝对把元气氛围感抓得牢牢的。入股不亏，快来剁手！#我的种草安利##年中好物大赏#  春楠的微博视频 ?
春楠??Y2K千禧拽姐妆高马尾、麻花辫、荧光色和极具跳跃色彩的妆容……这个既能耍酷又可办嫩的Y2K潮妆，充满了超现实主义和未来感。趁儿童节这天，就用超靓的色彩撞出童趣的火花，祝大家#六一儿童节# 快乐！好了，话不多说，看我如何用色彩Y2K穿越回粉嫩童年??#春楠的妆##Nan’s Channel# 春楠的微博视频                            ?    ,开工 ?原图?,「女明星“极致”定妆法」女明星同款定妆法大公开！能让妆容全天新鲜不脱妆的小撇步就是MAKE UP FOR EVER微米定妆粉。妆容完成后使用微米定妆粉轻轻按压，细腻的粉质能即刻吸附多余油光，肌肤就像开启了夏日??光感滤镜，呈现高级的通透感。想Get更多使用小技巧，戳??视频，让你的妆容牢牢“焊”在脸上一整天！#微米定妆粉# 春楠的微博视频                            ?    ,有被暖到！ ?[组图共5张]?原图?,【520宠粉计划】  大家今天都有什么安排呀？不用羡慕别人晒狗粮，你今天的礼物就由我承包啦！甜甜蜜蜜的“520”就把实实在在的“爱”送给你们，礼物???已经为大家准备好，方式简单粗暴??直接从【车专】+【平】里，揪9位小锦鲤送出，礼物以盲盒形式随机发放。祝大家#520快乐# 快来查收你们的甜宠礼物吧！            ?[组图共10张]    ??原图                        ?    ,#刘浩存0520生日快乐# 心怀浩瀚，美好长存！祝浩存520生日快乐??，未来可期。 ?原图?,今年夏天很流行日系麻豆的氛围感少女妆，不仅妆感干净、有元气，还能提升骨相，非常适合日常出街。今天，我就和@一坨是于雯_ 合作了一款「日杂桃子??妆」，详细步骤戳??视频，知识点也给你们总结在下面，让我看看是谁没学会？??透明感底妆日系底妆干净通透，我使用Blank ME骑士粉霜打造匀净细腻的绒光妆感。水润的质地，触感超级顺滑；在脸上涂抹开后非常服帖，完全就是日系麻豆那种湿湿透透的原生感，自然又高级。最后再使用Blank ME的记忆散粉进行定妆，一秒柔焦，上脸轻盈又服帖，全天持妆不拔干不暗沉。??无辜感眼妆夏季的眼妆并不需要叠加太多颜色，使用同色系的2-3个颜色晕染就好。可以选择清透又百搭的浅咖色彩盘，在眼睑处着重晕染，打造眼睑下至的无辜感。??氛围感腮红珊瑚橘?桃粉色混合的腮红，温柔又减龄。薄涂可制造空气感少女颜；加深色彩又能打造微醺感，甜美又软糯。#我们眼中的你特别美# #Special ME，Special beauty#  春楠的微博视频                            ?    ,还在纠结妆容是无效化妆？如果底妆不完美，那么你从一开始就无效了??♂?肤色暗沉、泛黄、没有光泽，再神的手也救不了。今天，就教你一招儿解决无效底妆的神技能。视频里满满干货，有我的红毯妆小技巧?，还有暗皮星人必入好物GIVENCHY明星柔光粉底液。它不仅质地细腻轻薄，能紧密贴合肌肤，还完全符合今年的流行趋势，一抹就能打造出高级的“妈生感”好皮。戳视频，一键Get#暗皮救星# 春楠的微博视频                            ?    ,很想知道有没有人会因为一种特别美好的味道，而买一支唇膏?? ?,成都真是一个幸福指数超高的城市 ?
